protein_id	WT_t1	WT_t2	WT_t3	WT_t4	HetEd_t1	HetEd_t2	HetEd_t3	HetEd_t4	HomEd_t1	HomEd_t2	HomEd_t3	HomEd_t4	HetRev_t1	HetRev_t2	HetRev_t3	HetRev_t4	HomRev_t1	HomRev_t2	HomRev_t3	HomRev_t4
PROT_0143	23.8724	23.9239	23.6358	23.4984	23.6034	23.6025	23.9177	24.0844	23.6817	23.8848	23.1651	23.7971	24.0829	23.7935	24.3239	23.9688	23.935	24.0165	24.1548	23.9041
PROT_0144	19.6065	20.0858	20.1723	19.7445	19.2571			19.717	20.108	19.7865	20.5555		19.8423	19.7875	19.9707		20.1606	20.3327	20.4339	
PROT_0145		19.5617	18.6005		19.8812	19.6957	19.3218		19.5886	19.1884	19.8404	19.4305	19.3683	18.7253	19.7415	18.6823	19.382		19.2567	18.8099
PROT_0146	20.8322		20.5994	20.806	20.2343	20.2139		20.2215	20.8217	20.5122	21.0926	19.6234	20.3334	20.9893	20.0842	20.0998	20.6076		20.2098	20.8706
PROT_0147	25.3971	25.2299	24.837	25.4585	25.0999	25.0846	25.06	25.4255	25.0333	24.8834	25.4724	25.4222	25.3775	25.6169	25.7449	25.5869	25.5891	25.4284	25.592	25.5676
PROT_0148	24.7506	24.6766	24.733	24.8349	24.7143	24.492	24.4972	24.9674	24.6861	24.345	24.6934	24.9832	24.6151	24.7744	24.7714	24.5802	24.4856	24.8389	24.6538	24.7297
PROT_0149	22.9478	22.9462	22.7862		23.0413	22.9156	23.2292	23.0075	23.1837	22.6233	23.0466	23.4275	23.1907	22.7711	23.1095	23.1017	23.5117	22.9461	22.6531	22.867
PROT_0150	22.8769	22.659	22.6756	22.9224	22.8366	22.9233	22.5551	22.9816	22.5361	22.4272	22.8717	22.9342	22.8839	23.1508	22.8785	22.693	22.555	22.9977	22.5289	22.8796
PROT_0151	26.2323	25.9581	26.2048	25.7329	25.9258	25.96	25.9081	26.0141	26.1543	26.2225	26.1411	26.2338	25.8475	25.956		26.0229	26.0101	25.986	26.1703	26.1342
PROT_0152	22.7788	22.2338	22.5456	22.2549	22.3894	22.4086	21.9314	22.477	22.4508	21.8409	22.2252	22.0106	22.165	22.3511	22.0415	21.9836	22.7973	22.522	22.3185	22.5237
PROT_0153	26.5807	26.5634	26.6467	26.7054	26.9955	26.5995	26.8647	26.7169	26.8434	26.4572	26.7414	26.4846	26.8078	26.7148	26.6689	26.382	26.7928	26.4737	26.3834	26.4678
PROT_0154	23.5129	24.1996	23.851	23.2853	23.3707	23.8355	23.7501	23.5531	24.0248	23.5552	23.6715	23.3849	23.6638	23.8818	23.7569	23.872	23.3553	23.8423	23.5013	23.4589
PROT_0155	22.6025	22.1359	22.5641	22.2858	22.5507	22.1426	22.6357	22.4371	22.4936	22.4348	22.3437	22.0897	22.0476	22.5555	22.4594	22.2476	22.3767	22.1525	21.8613	22.3304
PROT_0156		21.9174	22.4326	21.773	22.2299	22.1233	22.4033	22.289	22.5483	22.3283	22.1889	21.805	21.9977	21.7507	21.9577	22.2523	22.0602	21.9291	22.0087	21.9427
PROT_0157	24.4738	24.148	24.1485	24.4727	24.3615	24.4809	24.8071	24.7743	24.6659	24.4136	24.6718	24.9731	24.5523	24.7923	24.434	24.4208	24.8959	24.6634	24.679	24.727
PROT_0158	24.9942	25.0821	24.9885	24.7656	25.0861	24.9664	24.632	24.8389	24.9771	24.845	24.7004	24.6166	24.5744	24.7629	24.9382	24.9262	24.8975	25.1216	24.7004	24.9249
PROT_0159	20.4831	20.6972	20.1925	20.4291	20.5008	20.6368	20.5111	20.791	20.3933	20.1796	20.5745	20.3196		20.4201	20.1667	20.1357	20.3852		20.5756	20.5235
PROT_0160	26.8718	26.5048	26.5102	26.3117	26.6653	26.4728	26.5456	26.27	26.3747	26.6677	26.6184	26.5818	26.6109	26.625	26.6489	26.6237	26.7518	26.6118	26.6204	26.5355
PROT_0161	16.8522	18.1305				17.9828	17.9039	19.3403	18.5066			18.286		17.2025	17.5553		18.299		18.0077	17.5342
PROT_0162	23.449	23.7017	24.1703	23.7589	23.5414	23.7145	23.9275	23.4508		23.4993	23.5944	24.0065	23.388	23.8405	23.8983	23.6144	23.596	23.9034	23.7114	23.9795
PROT_0163	27.3976	26.9125	27.0634	26.9587	27.0454	26.8673	26.907	26.9308	27.0945	26.9461	27.3336	27.1176	27.1719	26.8525	27.1816	27.0359	27.0862	26.8556	26.9265	
PROT_0164			19.4148	18.9786	19.0997	19.1993				18.9058	18.8631			19.2493					19.9678	
PROT_0165	22.7257	22.6858	22.946	22.8154	22.6597	22.7108	23.1091	23.1109	22.714	22.8209	22.7908	22.8611	22.9661	22.6715	22.6549	22.6001	23.2758	22.8733	22.7111	22.5834
PROT_0166	23.1212	22.9985	22.6224	22.7416	23.3103	23.0135	23.1751	22.8721	22.9579	23.2231	23.0374	22.803		22.9082	23.2243	23.1156	23.1917	23.2386	23.2664	23.1779
PROT_0167				18.0612	18.0979	18.155	17.9265	17.2249						17.4636		17.8952				
PROT_0168	24.1146	23.7999	24.0676	23.598	24.0127		23.954	23.7547	23.9567	23.6845	23.7248	23.9814	23.9362	23.9097	23.6803	23.4461	24.1106	23.7801	24.3323	24.0399
PROT_0169	23.2061	22.8609	23.2279	23.0867	23.2312	23.3087	23.1		23.4006	23.2171	23.0043	23.6627	23.0563	23.2552	22.7647	22.9381	23.4773	23.238	23.3583	22.999
PROT_0170		20.2671	20.6079	20.555	20.2308	20.5252	20.7602	20.1548	20.2959	20.0388	21.1909	20.0983	20.4558	19.5364	20.2187	20.2398	20.2031			20.4406
PROT_0171	24.5323	24.8202	24.6587	24.8268	24.8388	24.7869	25.1422	24.928	24.8762	24.729		24.8342	24.6375	24.8327	25.0514	25.0934	24.8573	24.9159	24.863	24.835
PROT_0172				17.6311	18.3808	17.7087	18.0512		17.4959	18.5579		19.2854						18.0403	17.7619	
PROT_0173	17.5596					17.6711	17.5589					17.8806							17.6458	18.2814
PROT_0174	26.0401	25.6693	26.0164	25.9222	26.0496	25.9746	25.8314	25.9763	25.7368	26.1459	25.5273	25.9224	25.9506	25.9808	26.0045	26.1039	25.9728	25.7325	25.7471	25.7178
PROT_0175	23.9547	24.0037	24.1635	24.2401	23.4263	24.0418	23.9387	24.1494	23.9448	24.152	24.053	24.1975	23.8793	24.0678	23.9816	24.0515	23.8529	24.2293	23.9855	24.1328
PROT_0176	20.0634	20.3942		20.2689		20.7511	19.6554	20.5525	20.2415	20.4455	19.9149	20.5225	20.2631	20.8916	20.5844	20.6076		20.2873	20.7579	20.2601
PROT_0177	20.623	21.024		20.38		21.2916	21.1414	20.8517	21.0336	20.8341	21.0662	21.0608	21.1193	21.2549	21.0718	20.8585	21.0982	20.7956		20.9381
PROT_0178			18.196		18.1922		16.87	18.0898	18.158					18.9603				18.1594		
PROT_0179	20.15	20.2635	20.1618	19.7871		19.5366		19.959	19.3664	20.2888	19.5573		19.9737	19.6039		20.0803	18.9859		20.3195	20.6712
PROT_0180		19.4781	19.712	18.8769	19.9238	18.8645	19.0637	18.4336			19.9782	19.7755	19.8792	19.2125			19.3638	19.1538	19.2435	19.0298
PROT_0181	24.6617	24.3863	24.3068	24.6698	24.8859	24.3586	24.9623	24.8822	24.728	24.8306	24.7974	24.9819	24.7044	24.4545	24.3609	24.6351	24.4406	24.8581	24.8041	24.795
PROT_0182	21.9737	21.7362	21.9937	21.9421	21.3823		21.7623	21.8066	22.0253	21.7572	21.8019	21.6588	21.984	21.1715	22.0824	22.0096	22.1779	22.1407	21.6398	22.5321
PROT_0183	20.9492		20.9316	22.0675	21.6681	21.9713		21.857	21.086	21.9977	21.0679	20.8226	21.23		20.6802	21.7236	21.3337	21.2507		
PROT_0184	25.0131	24.738	24.8298	24.4768	24.7038	24.3123	24.7024	24.359	24.5832		25.0276	24.7355	24.7847	25.0382	24.8517	24.5835	24.6765	24.4375	24.7809	24.8769
PROT_0185	23.7757	23.6523	23.9446	23.5886	23.9415	23.5319	23.9506	23.6065	23.6814	24.0033	24.0652	23.6786	24.0093	23.9039	23.9211	24.0479	24.1337	24.0973	24.3075	24.0013
PROT_0186	25.8691	25.9256	25.98	25.8837	26.2526	25.9133	26.013	26.1784	25.9028	25.8902	25.967	25.9216	26.2585	26.1924	25.6558	26.2369	25.8304	25.7757	25.8603	26.0168
PROT_0187		18.41	19.2361					18.5619	18.8185			18.1553					19.1275	18.3039		19.175
PROT_0188	26.0702	26.4545	26.5815	26.5789	26.2522	26.6989	26.1703		26.1379	26.4031	26.4568	26.4964	26.2491	26.5292	26.5836		26.3532	26.3879	26.191	26.2686
PROT_0189	23.7679	23.6801	23.8074	23.7649	23.9778	23.5234	23.8384	24.169	23.8455	23.8492	24.0292	23.9751	23.716	24.0625	23.9126	23.7761	24.1125	23.7317	24.0284	23.5315
PROT_0190		21.783	21.8045	21.8178	22.1424	21.8588	22.4768	21.941	23.1798	23.0138	23.5699	22.939	22.3016	21.8764	21.7637	21.7386	21.8167		21.6761	21.8553
PROT_0191	25.2031	24.7702	25.2566	25.348	25.3021	25.2379	25.4747	25.1997	25.0898	25.0687	25.2843	25.0825	25.1958	25.3372	25.3865	25.4848	25.2296	25.0678	25.2643	25.5319
PROT_0192	27.7119	27.5735	27.4981	27.8842	27.8161	27.7616	27.7849	27.6816	27.6263	27.7921	27.9291	27.9298	27.8324	28.0775	27.6929	27.8551	27.7457	27.9349	27.7111	28.0327
PROT_0193	22.431	22.2448	22.3358	22.3183	22.6985	22.6166	22.5029	22.3127	22.1641	22.6328	22.4317	22.5364	23.0174	23.0585	22.383	22.5802	22.9887	22.2423	22.2298	22.6182
PROT_0194	22.2086	22.0546	22.4679	22.5078	22.2105	22.5276	22.5087	22.5532	22.1759	22.2831	22.4209	22.3915		22.5295	22.7601	22.454	22.4444	22.5257	22.5478	22.8038
PROT_0195	21.8546	22.0882	21.5512	21.81	21.9894	22.1438	22.2274	22.0468		22.0583	21.9102	21.3479	21.6783	21.7553	22.0862	21.8013	22.2473	21.7817	22.133	22.1987
PROT_0196			15.8459	17.6702			18.2264								18.061		17.6329	17.8139		
PROT_0197	26.4515	26.2789	26.3714	26.5925	26.4442	26.4098	26.0259	26.5492	26.1544	26.2558	26.3468	26.2662	26.1142	26.5848	26.082	26.3231	26.6105	26.3878	26.73	26.2481
PROT_0198	24.4833	24.6084	24.9246	24.5576	24.6596	24.6306		24.5476	24.4926	24.5191	24.1886	24.7488	24.2985	24.4609	24.2578	24.3299		24.6107	24.0198	25.1378
PROT_0199	24.2078	24.1656	24.121	24.2662	23.9194	23.7774	24.1833	24.4221	24.2094	24.2581	24.1321		24.3097	24.4746	24.1975	24.1995	24.2696	24.4045	24.3553	24.2234
PROT_0200	24.5502	24.1641	24.6579	24.6913	24.475	24.4744	24.7403	24.6739	24.6391	24.3925	24.9825	24.6401	24.7134	24.4875	24.8474	24.5744	24.0214	24.3846	24.6066	24.5565
PROT_0201	21.3603	21.6383		21.9082	22.0558	21.2343	21.8355	21.5958	21.828	21.4544	22.0037	21.6616	21.4018	21.4725	22.193		20.4858	19.9425	20.5472	19.854
PROT_0202	28.7834	28.4361	28.552	28.6397	28.9625	28.6906	28.8128	28.7334	28.4582	28.57	28.5876	28.6443	28.9839	28.6022	28.4847	28.3682	28.889	28.804	28.9444	
PROT_0203	23.49	23.4716	23.0307	23.7991	23.6348	23.3869	23.7307	23.1429	23.4637	23.1457	23.7041	23.1838	23.4315	23.6931	23.5299	23.5969	24.0225	23.8918	23.8975	24.0511
PROT_0204	22.2023	22.0196	21.9913	22.2199	21.7404	21.5421	22.2897	22.4262	21.9119	22.3066	21.8006	21.8634	22.5661	22.0009	21.9954	22.3132	21.8743	21.9983	21.9756	22.1978
PROT_0205		19.0519	20.1365	19.6874		19.7674	19.7161	19.6058	19.6168	20.1279		19.6627		19.7492	19.7336	19.9239	19.9444	19.3885	19.1625	20.2816
PROT_0206	29.6614	29.277	29.7941	29.6362	29.7415	29.6178	29.7646	29.4797	29.742	29.6294	29.9923	29.5247	29.654	29.5619	29.9273	29.576	29.6725	29.4642	30.0276	29.6474
PROT_0207	25.2838	25.0363	25.2067	25.1472	25.1816	24.967	25.2946	24.9901	25.1578	25.2101	25.2436	25.1536	25.1482	25.2303	25.2102	25.0076	25.373	25.3502	25.4519	25.2071
PROT_0208	25.1803	24.9716	25.4209	25.3069	25.4742	25.2097	25.1148	25.123	25.2131	25.3017	25.2427	25.4823	25.3577	25.3592		25.6901	25.5096	25.2853	24.9208	25.2116
PROT_0209	24.1207	23.865	24.1675	24.0813	24.1414	24.3903	23.839	24.2064	23.8417	24.065	24.2384	23.9414		24.3133	24.1553	23.9699	23.9485	24.3114	24.0	24.0941
PROT_0210	19.6249	19.7333	19.3095	19.6284	20.1866	19.2983		19.5642	20.4125	19.4645		20.7496	19.4197	19.9967	19.4809	19.9538	20.0236		20.0747	
PROT_0211	25.3569	25.2889	25.0788	25.2589	25.1719	25.3655	25.3192	25.2796	25.2768	25.1798	25.1295	25.4087	25.2571	25.0262	25.3436	25.0628	25.1906	25.3306	25.3687	25.4712
PROT_0212	22.013	22.0504	22.4102	21.9995	21.6388	21.4168	21.6696	21.4588		22.1018	21.9103	22.1436	21.9987	22.1068	22.1211	21.8919	21.9263	22.1366	21.9499	21.9849
PROT_0213	21.6941	21.1666	21.2703	21.1788	21.3257	21.5631	21.1729	21.8731	21.0153	21.3331	21.2904	21.7324	21.0744		21.4742	21.6857	21.2173	21.4116	21.9038	21.3989
PROT_0214	26.5939	26.854	26.7782	26.8558	26.6463			26.8628	26.5261	26.9555	26.7028	26.837	26.7264	27.0657	26.8165	26.7645	26.5473	26.5278	26.5889	26.799
PROT_0215	22.8519	22.3014	22.8035	22.6719	22.581	22.7335	22.6732	22.6283	23.8066	23.7956	23.4819	23.6256	22.6417	22.7436	23.0827	22.6987	22.7294	22.3378	22.9421	22.5058
PROT_0216	20.9948	21.3935	21.1745	20.9416	21.8268	21.6418	21.1234	21.3053	21.0255	20.7903	21.4528	21.401	20.9745	21.2147	21.1225	21.0545	21.572	21.3884	20.9925	21.5473
PROT_0217	19.5286			18.9303		18.8187	18.3804	18.767	18.2005	18.7614	18.8698				18.0749		18.3656			18.708
PROT_0218	19.9203	19.4932		19.502		19.1293	19.169	19.6953		19.5674	19.3677	19.5635	19.2273	19.5171		18.7057		20.3396	19.2767	19.1588
PROT_0219	23.1324		23.2808	23.2254	23.2016	23.2608	23.558	22.8604	22.8845	23.3709	23.4941	23.1195	23.4656	23.2205	22.8972	23.2503	23.5753	23.2985	23.2473	23.0865
PROT_0220	23.7689	23.7292	24.0938	23.9829	23.7789	23.4474	23.7054	23.7894	23.9271	23.8549	23.4802	23.5412	24.0082	23.8354	23.903	23.6005	23.8684	23.8066	24.0569	23.789
PROT_0221	24.7818	24.3678	24.4875	24.3756	24.3039	24.0132	24.4098	24.3466	24.0888	24.2617	24.695	24.1658	24.261	24.0923	24.4097	24.2345	24.2921	24.3515	24.4798	24.5659
PROT_0222	21.3784	21.1317	21.6547	20.8261	21.4265		21.6935	21.6711	21.4541	21.0598	20.9862	21.4568	21.3071	21.4017	21.332	21.3083	20.5232	21.735	22.2067	21.2471
PROT_0223		22.1066	21.6521	21.7303	21.6778	21.7289		21.803	21.514	21.6299	22.01	22.4055	21.6804	21.9432		22.201	21.449	22.1531	22.2568	21.4124
PROT_0224	24.9341	24.7115	24.7871	24.5653	25.3274	24.448	24.9825	24.7152	24.6956	24.881	24.8144	24.4664	24.8403	24.6195	24.9219	25.0347	24.9379	24.4304	24.8411	24.6258
PROT_0225	19.4905	20.3048		20.3711		20.3484	20.038	20.0093	20.4367	20.1148	19.5121	20.561	19.8941	20.9097	20.0091	19.8971	19.4992	20.1468	20.1949	20.1253
PROT_0226						19.0195	18.59		18.2861	18.2543		19.0946			18.759		18.1822			19.5434
PROT_0227	23.1844	23.2461	23.4648	23.607	23.141	23.1838	23.4627	23.4157	23.2741	22.9633	23.248	23.1766		23.0981	22.9919	23.056	23.4315	23.1576	23.269	23.1707
PROT_0228	24.0968	23.9038	24.0416	23.6045	24.2605	23.4969	23.4423	23.7347	23.585	23.8246	24.1476	23.7815	23.8447	24.1403	23.8093	24.14	23.5464	23.6462	23.8219	23.6417
PROT_0229		20.196		18.8057	19.4703	19.7463		19.3038			18.2893		19.6101	19.3538	19.3018	19.5351	19.716	19.2259	19.0762	20.0406
PROT_0230	27.5534	27.8397	27.4812	28.0215	28.0075	27.9119	27.6097	28.0903	27.5089	28.2451	27.4916	27.9729	27.6568	28.3766	27.7698	28.0811	27.7966	27.7025	27.6817	27.9678
PROT_0231	21.2218	21.0811	21.3355	21.2552	21.8946	21.3807	21.8035	21.8479	21.5644	21.4809	21.4571	21.4812	21.6579	21.6467	21.9248	21.4978	21.6014	21.252	21.6066	21.2489
PROT_0232	21.2501	20.9762	20.5937	21.4923	21.0427	21.8823	21.2458	20.9065		21.6285	20.9432	21.8451	21.364	21.5704	21.0063	21.1639	21.1366	21.5755	21.6637	21.6071
PROT_0233	26.4664	26.4806	26.5046	26.774	26.3374	26.1418	26.5916	26.5321	26.0948	26.2219	26.4419	26.1597		26.54	26.5485	26.3486	26.4475	26.3242	26.3258	26.285
PROT_0234	21.4628	21.8811	21.5315	21.5779	22.3777	22.3478	21.833	22.6341	21.9466	21.8856	21.9673	22.4091	21.2951	21.4331	22.0744	21.6228	22.02	21.2737	21.774	22.0312
PROT_0235	21.5506	21.4959	20.9478	21.2525	21.1175		21.5846	21.6035	21.364	21.1659	21.535	21.3628	21.557		21.1441	21.578		21.3047	21.2137	21.3396
PROT_0236	19.0567				20.3751	19.5308	19.6933	19.5523		19.7049	19.5286	19.1608	19.894	19.7708	19.725		19.5245	19.4227		19.7213
PROT_0237	24.4033	24.6941		24.482	24.3016	24.1847	24.5434	24.6352	24.3954	25.0495	24.544	24.6909	24.2231	24.2348	24.527	24.3554	24.8148	25.0709	24.7425	24.7588
PROT_0238	21.0673	20.9404	21.2927	21.0088	20.8653	21.4125	21.0399		21.1005	21.2295	21.1235	21.5864	21.706	21.3559	21.3568	21.2196	21.1799	20.8348	21.386	20.9173
PROT_0239	25.4116	25.4416	25.4873	25.7643	25.5343	25.2959	25.4387	25.6194	25.6547	25.5943	25.3287	25.8132	25.4102	25.6502	25.4502			25.8548	25.6873	25.3816
PROT_0240	22.2311	21.7559	21.6217	22.1495	22.5174	22.703	22.3714	22.6958	22.7313	22.2158	23.0308	22.696	21.6044	21.8691	21.8658	22.0845	21.9908	21.8359	22.6479	22.1178
PROT_0241	21.3013	21.2504		20.5526	21.1322		20.6659	20.9553	21.0417	21.2818	21.1628	20.8918	20.4489	20.4592	21.097	21.1809	21.6849		20.3564	20.5016
PROT_0242	26.284	26.1529	26.2143	26.3857	26.9498	26.753	26.8345	26.9359	26.71	26.8538	26.6779	27.0457	26.7257	26.6054	26.6757	26.7989	26.8155	26.9202	26.7527	
PROT_0243	25.6952	25.7391	25.4396	25.4947	25.5723	25.2206	25.7486	25.1513	25.5921	25.4445		25.4411	25.3547	25.4182	25.1835	25.3319	25.8762	25.7242	25.6958	25.9272
PROT_0244	21.7695	21.0083	21.6585	21.0912	21.588	21.332	21.3524	20.6818	21.4559	21.5483	21.4536	21.4072	20.9839	21.2722	20.9972	21.5432	21.5914	20.8944		21.2677
PROT_0245	21.6383	21.6258	21.8818	21.9965	21.4123	21.2048	21.9039	21.888	21.647	22.0036	21.8753	21.9601	22.0722		21.4442		21.3525	21.8643	22.0223	21.9051
PROT_0246	24.9804	24.6413	24.8935	24.9104	25.5526	24.7839	25.226	24.814	25.1528	25.1342	25.4074	24.9571		24.913	25.2012	25.1401	24.8824	25.0639	25.3481	25.098
PROT_0247	20.5878	20.7623	20.6453	20.7506	20.2031	20.4412	20.5041	20.8712	21.8355	22.0712		21.1279	20.8839	21.4426	20.8561	20.8067	20.7823	20.694	20.5791	20.6687
PROT_0248		21.21	20.6192	21.463	21.0493	21.2643	20.9861	21.0911	21.1437	21.0594	20.982	21.2585	21.1015	21.1659	20.2864	21.4603	21.1657	20.7163	21.3254	21.3045
PROT_0249	20.0317	20.0117	20.0017	20.3614	19.8386	19.9984	19.4235	19.8109	19.6366	19.9599	20.0581	20.0494		20.1147	19.9635		20.0698	20.0994	20.4138	20.4985
PROT_0250	23.3491	23.4584	23.0254	23.2585	23.3894	23.3012		23.3812	22.4757	22.5855	22.4971	22.9299	23.454	23.4121	23.3692	23.4036		23.4393	23.4277	23.361
PROT_0251	23.7644	23.185	23.2499	23.4518	23.3887	23.1023	23.1484	22.9851	23.3642	23.2987	23.7122	23.3203	23.3067	23.3307	22.8545	22.976	23.48	23.2218	23.0207	22.976
PROT_0252	25.6829	25.6542	25.8735	26.2126	26.2409	25.8014	26.1406	26.0435	25.8422	25.9758	25.7861	26.0773	26.1867	25.8597	26.147	26.1458	26.0228	26.0605	26.1742	25.9501
PROT_0253	21.6998	21.6024		21.718	21.4813	21.9764	21.8762	21.8941	21.8699	21.5204	22.1822	22.002	21.9622	21.5881	21.1186	21.3986	21.8385	22.0646	21.9343	21.8083
PROT_0254		20.0615	20.3579	20.1822	20.2562	20.517	20.4359	19.6301	20.284	20.1627	20.0152	19.7755	19.5485	19.9749	19.9418	19.7967	20.0361	20.4019	19.9886	20.3794
PROT_0255	22.3587	22.2032	22.6682	22.0562	22.8483	22.344	22.6693	22.1618	22.5148	22.6642	22.8337	22.2251	22.8374	21.9896	22.6941	21.9204	22.8523	22.4106	21.8745	22.1945
PROT_0256	24.369	24.3033	24.2218	24.0667	24.3232	24.082	23.966	24.5092	24.4369	24.6811	24.2364	24.4517	24.4195	24.5331	24.1952	24.2201	24.4617	24.702	24.4366	23.8773
PROT_0257		19.8001	18.3753	19.5334		19.2099	18.9695	19.2679	19.137	20.1835	19.986	18.6715		20.2887	19.5961	20.0187		19.5609	19.8408	19.004
PROT_0258	25.5236	25.3292	25.3351	25.4048	25.4157	25.415	25.3001	25.2826	25.5501	25.48	25.0993	25.4331	25.5054	25.5235	25.4476	25.4656		25.6671	25.3819	25.2799
PROT_0259	23.9747	23.7602	24.0897	23.6365	24.005	23.7198	24.163	24.1177	23.8778	23.7329	23.2382	23.941	23.5438	23.9058	23.6205	24.0082	23.661	23.9006	23.7695	24.0427
PROT_0260	24.0604	23.0637	23.4936	23.5864	23.6929		23.4348	23.3642	23.2961	23.1299	23.6557	23.045	23.8766	23.5028	23.4639	23.801	23.6909	23.528	23.9172	23.6446
PROT_0261	24.0041	24.2121	24.1296	24.3028	24.0185	24.3262	23.9773	24.44	24.1244	24.3245	24.0912	24.1638	24.3843	24.5597	24.2169	24.3019	24.4119	24.1591	24.5682	24.6257
PROT_0262	20.7673	20.7633	20.7702	21.0227		21.0126	21.0766		20.6858		20.825	20.696		20.7889	20.9322	21.22	20.2098	21.0719	20.7839	20.7114
PROT_0263	21.0788	21.0592	20.9038	20.9042	21.0206	21.0548		20.7509	20.8453	21.1511			20.5109	21.5926	20.8606	21.3067	20.8478	20.7654		20.9468
PROT_0264	26.814	27.0157	27.041	27.0544	27.1548	27.2802	27.236	27.526	27.0319	27.2573	27.0663	27.2415	27.2107	27.289	26.8915	27.3643	27.1622	27.078	27.3041	27.2488
PROT_0265	21.9635	22.2143	22.2438	22.499	22.1423	21.9739	21.9272	22.0511	22.4715	22.1871	22.0525	21.9944	21.7856	21.9925	22.6514	22.4017	22.2307		22.2068	22.1585
PROT_0266	25.9703	26.0589	25.9486	26.1392	26.2772	26.2659	26.635	26.0469	26.0491	26.1567	25.9619	26.1322	26.1129	26.4444	26.4523	26.2571	26.1982	26.1191	26.0394	26.3873
PROT_0267	22.7818	22.3807	22.3979	22.7176	22.3319	22.314	22.7928	22.6133	22.1638	21.8521	21.6305	21.8845	22.4842	22.5617	22.548	22.6753	22.901	22.734	22.8841	22.7275
PROT_0268	18.8632	18.1862	18.5912	19.3521	20.0378	19.0493	19.2845		19.2255		19.7198	19.4076		18.8439			19.5054	19.1626	18.848	18.8599
PROT_0269	22.3837	21.9165	22.3368	22.353	21.7486		22.0404	22.1239	21.7143	21.7053	22.2254	22.6575	22.0112	22.2361	22.1566	22.0483	22.2047	22.1159	21.9209	21.7248
PROT_0270	22.7528	22.3763	22.6473	22.3937	22.474	22.1357	22.4356	22.5722	22.361	22.7045	22.6226	23.2675	22.4979	22.5752	22.6471	22.5039	22.966	22.7495	22.4342	22.2107
PROT_0271	21.6449	21.7072	21.8038	21.6485	21.5617	21.9453	21.876	22.0274	21.9942	21.7586	22.1208	22.1037	21.5805	22.0717	21.8535	21.9895	21.6167	21.9952	21.4183	21.8348
PROT_0272	25.0393	24.9124	24.6405	24.8538	25.007	25.0108	24.947	24.9047	24.5965	24.7767	24.9173	24.7896	24.9179	24.826	24.4892	25.0054	25.0945	24.8092	24.6504	24.9222
PROT_0273	23.1784		23.3066	23.3487	23.5553	23.4304	23.3015	23.0443	23.6587	23.3018	23.1519	23.2996	22.689	23.8074	23.4028	23.2661	23.1718	23.3029	23.3925	23.5795
PROT_0274	24.4661	24.3651	23.9575	24.2556	24.5857	24.3262	24.5236	24.4008	24.3266	24.147	24.5479	24.3859	24.4312	24.4071	24.2511	24.2854	24.8712	24.3218	24.4581	24.1784
PROT_0275	25.0224	24.867	24.9508	24.9013	25.1591	25.0147	24.9341	24.8639	24.9729			24.9606	24.8495	24.8323	25.0628	24.7623	24.6102	24.9859	25.0633	25.0426
PROT_0276	23.1827	23.4931	23.6397	23.208	23.5719	23.6075	23.6415	23.6358	23.6125	23.0284	23.4151	23.7786	23.3955	23.6104	23.4621	23.214	23.122	23.4384	23.1696	23.6535
PROT_0277	26.1209	25.8254	26.0979	25.6939	26.3539	25.5026	26.3602	25.8374	26.0389	25.7024	26.3355	25.7485	26.0034	25.8938	26.2325	25.859	26.3262	25.8523	26.3517	25.8366
PROT_0278	23.7511	23.6717	23.7931	23.9604	24.1523	23.8559	24.2429	23.6491	23.8219	23.6081	23.692	23.7068	23.6699	23.9929	23.6718	23.5907	23.7308	23.4516	23.5369	23.7744
PROT_0279	22.7387	22.3321	22.373	23.1024	23.0657	22.4449	22.9207		22.4798	22.83	22.9244	22.6086	22.6337	22.8768	22.5786	22.889	22.7533	22.8455	22.4939	22.6121
PROT_0280	20.5531	20.5984	20.5111	20.482		20.6742	20.6043	20.6997	21.006	20.009	20.5959	21.0133	21.0483	21.6439	21.6987	21.4079	20.8886	20.2277	20.5689	21.0801
PROT_0281	26.7936	26.568	26.7869	26.4617	26.8265	26.6329	26.8354	26.6574	26.9568		26.8875	26.7221	26.6531	26.5684	26.4417	26.8852	26.9517	26.6864	26.9282	26.9128
PROT_0282	25.3777	25.5762	25.6222	25.5217	25.3664	25.1792	25.6939	25.4791	25.645	25.4986	25.5475	25.56	25.4981	26.1142	25.4204	25.715	25.7067	25.4586	25.3664	25.4899
PROT_0283	22.5878	22.1969	22.7397	22.6206	22.2021	22.3503	22.7616	22.7559	22.6316	22.7866	22.2779	22.6264	22.4869	22.7451	22.6517	22.9864	22.2224	22.1565	22.4032	22.4053
PROT_0284	23.2168	23.3667	23.0149	23.6171	23.3693	23.5955	23.3793	23.3769	23.443	23.228	23.0155	23.2562	23.3118	23.4646	23.0754	23.3749	23.1326	23.1216	23.2578	23.5085
PROT_0285	21.5563	21.322	21.366	21.2512	21.1103	21.0182	21.4676	20.6582	20.9232	20.5597	21.0812	21.0765	21.6716	22.0766	21.1174	21.1075	21.4047	21.1309	21.5265	21.0827
PROT_0286	21.5297	21.4957	21.2771	21.1667	21.352	21.4987	21.5278	21.6231	21.1964	21.233	21.9105	21.699	21.8571	20.6592	21.6441	21.7601	21.4462	21.2449	21.1455	21.4244
